year,player_name,school_name,pos,class,age,PA,BA,OBP,SLG,H,2B,3B,HR,RBI,BB,K,SB
2025,Jaden Woolbright,Southern Ark.,3B,4YR SR,23,225,0.245,0.373,0.337,45,7,2,2,13,29,40,5
2025,Dayvin Johnson,Central Missouri,OF,4YR 5S,23,283,0.343,0.424,0.649,82,17,4,16,64,30,45,20
2025,Mario Lopez Jr.,Lander,C,4YR SR,23,174,0.275,0.376,0.463,41,9,2,5,32,16,36,0
2025,Jordan Williams,Tampa,OF,4YR GR,25,303,0.352,0.446,0.561,86,16,7,7,52,35,44,81
2025,Edgardo Villegas,Tampa,OF,4YR SR,22,240,0.327,0.433,0.51,64,17,2,5,49,32,32,16
2025,Ian Soto,Gannon,OF,4YR SR,23,183,0.282,0.399,0.47,42,10,0,6,29,26,45,1
2025,Jorge De Goti,Nova Southeastern,3B,4YR SR,22,106,0.253,0.358,0.385,23,3,0,3,16,14,16,1
2025,MJ Hunter,Concord,2B,4YR SR,22,199,0.337,0.439,0.476,56,8,3,3,31,25,30,14
2025,Drew Townsend,Missouri Southern,OF,4YR SR,22,269,0.367,0.491,0.609,79,15,2,11,29,45,29,6
2025,Brett Blomquist,North Greenville,OF,4YR SR,22,261,0.398,0.514,0.592,82,15,2,7,46,34,25,13
2025,Joseph Rodriguez,Texas A&M International,SS,4YR SR,23,101,0.354,0.455,0.61,29,9,3,2,12,14,6,6
2025,Ivan Arias,Franklin Pierce,2B,4YR JR,22,205,0.242,0.405,0.382,38,8,1,4,31,35,19,11
2025,Jevin Relaford,Fla. Southern,SS,4YR GR,23,245,0.3,0.399,0.384,61,8,0,3,28,29,32,68
2025,Orlando Pena,Valdosta St.,3B,4YR SR,22,226,0.344,0.42,0.724,66,11,1,20,79,24,39,0
2025,Michael Logan,Lenoir-Rhyne,OF,4YR GR,23,268,0.313,0.369,0.498,76,14,5,7,49,16,54,18
2025,Bryce Knox,Columbus St.,OF,4YR JR,23,199,0.273,0.34,0.381,48,7,0,4,26,13,26,4
2025,Bronson Rivera,Hawaii Pacific,SS,4YR SR,22,241,0.377,0.44,0.775,77,14,5,19,77,23,52,9
2025,Mark Black,Seton Hill,C,4YR GR,23,185,0.252,0.372,0.429,37,7,2,5,24,26,17,14
2025,Austin Bode,UIndy,C,4YR SR,22,250,0.392,0.484,0.665,83,24,2,10,48,28,31,9
2025,Jack Hines,Augustana (SD),SS,4YR 5S,24,241,0.441,0.502,0.629,89,13,2,7,64,22,22,29
2025,Safea Villaruz-Mauai,Chaminade,1B,4YR SR,22,187,0.323,0.428,0.582,51,6,1,11,43,17,48,1
2025,Mike Valdez,Tampa,OF,4YR GR,24,152,0.286,0.388,0.429,36,5,2,3,27,20,30,3
2025,Nick Poss,Jessup,C,4YR 5S,23,187,0.306,0.395,0.525,49,14,0,7,34,19,24,12
2025,Kevin Fernandez,Lincoln Memorial,OF,4YR SO,21,105,0.228,0.301,0.435,21,5,1,4,14,10,37,7
2025,Chris Leone,Southern New Hampshire,C,4YR SR,22,104,0.222,0.356,0.333,18,3,0,2,13,13,32,5
2025,Jacob Gutierrez,Lubbock Christian,OF,4YR 5S,23,253,0.408,0.478,0.587,89,10,4,7,57,24,22,4
2025,Noah Murciano,Wayne St. (MI),C,4YR GR,23,67,0.245,0.375,0.264,13,1,0,0,8,11,15,1
2025,Riley Orr,AUM,C,4YR JR,21,186,0.353,0.443,0.608,54,13,1,8,44,17,22,4
2025,Jhoander Irigoyen,Tampa,C,4YR JR,22,196,0.313,0.395,0.476,52,15,0,4,37,21,18,0
2025,Jesse Robinson,Lynn,OF,4YR SR,23,224,0.358,0.405,0.49,73,16,1,3,40,10,21,13
2025,Bo Willis,UT Tyler,C,4YR GR,25,89,0.25,0.337,0.408,19,2,2,2,12,9,14,1
2025,Landon Lucas,UNC Pembroke,RHP,4YR 5S,23,172,0.301,0.355,0.562,46,8,1,10,55,14,28,1
2025,Cole Russo,Tampa,3B,4YR SR,22,237,0.295,0.413,0.544,57,16,1,10,44,36,51,2
2025,Joe Kinneberg,Arkansas Tech,3B,4YR GR,24,87,0.27,0.379,0.338,20,2,0,1,14,6,19,3
2025,Josh Schleichardt,Vanguard,3B,4YR SR,23,207,0.305,0.411,0.603,53,18,2,10,34,21,43,4
2025,Alton Gyselman,North Greenville,C,4YR GR,23,136,0.286,0.403,0.464,32,11,0,3,23,16,24,1
2025,Jayden Hill,Southern Ark.,OF,4YR 5S,24,233,0.325,0.425,0.538,64,13,1,9,39,24,45,6
2025,DJ Christian Jr.,Concord,OF,4YR 5S,23,116,0.265,0.351,0.316,26,3,1,0,13,10,14,14
2025,Torry Jones,Edward Waters,OF,4YR SR,22,251,0.345,0.446,0.583,71,12,2,11,58,36,27,11
2025,Kendry Noriega,Barry,OF,4YR 5S,23,215,0.27,0.358,0.438,50,11,1,6,32,23,17,29
